x,y,z
14,45,23
14,45,24
14,45,25
14,45,26
14,45,27
14,45,28
14,45,29
14,45,30
14,45,31
14,45,32
14,45,33
14,45,34
14,45,35
14,46,19
14,46,20
14,46,21
14,46,22
14,46,23
14,46,24
14,46,25
14,46,26
14,46,27
14,46,28
14,46,29
14,46,30
14,46,31
14,46,32
14,46,33
14,47,20
14,47,21
14,47,22
14,47,23
14,47,24
14,47,25
14,47,26
14,47,27
14,47,28
14,47,29
14,47,30
14,47,31
14,48,20
14,48,21
14,48,22
14,48,23
14,48,24
14,48,25
14,48,26
14,48,27
14,48,28
14,48,29
14,49,22
14,49,23
14,49,24
14,49,25
14,49,26
14,49,27
14,54,24
14,54,25
14,54,26
14,55,23
14,55,24
14,55,25
14,55,26
14,55,27
14,55,28
14,55,29
14,55,30
14,55,31
14,55,32
14,55,33
14,55,34
14,56,23
14,56,24
14,56,25
14,56,26
14,56,27
14,56,28
14,56,29
14,56,30
14,56,31
14,56,32
14,56,33
14,56,34
14,57,23
14,57,24
14,57,25
14,57,26
14,57,27
14,57,28
14,57,29
14,57,30
14,57,31
14,57,32
14,58,24
14,58,25
14,58,26
14,58,27
14,58,28
14,58,29
14,58,30
14,58,31
14,58,32
14,59,25
14,59,26
14,59,27
14,59,28
15,16,14
15,17,14
15,21,13
15,22,12
15,22,13
15,23,12
15,23,13
15,23,43
15,23,44
15,24,12
15,24,13
15,24,42
15,24,43
15,24,44
15,25,41
15,25,42
15,25,43
15,25,44
15,26,21
15,26,22
15,26,38
15,26,39
15,26,40
15,26,41
15,26,42
15,26,43
15,26,44
15,27,20
15,27,35
15,27,36
15,27,37
15,27,38
15,27,39
15,27,40
15,27,41
15,27,42
15,27,43
15,27,44
15,27,45
15,28,20
15,28,34
15,28,35
15,28,36
15,28,37
15,28,38
15,28,39
15,28,40
15,28,41
15,28,42
15,28,43
15,28,44
15,28,45
15,29,20
15,29,33
15,29,35
15,29,36
15,29,37
15,29,38
15,29,39
15,29,40
15,30,20
15,30,33
15,30,35
15,30,36
15,30,37
15,30,38
15,31,19
15,31,34
15,31,35
15,32,19
15,33,19
15,37,22
15,37,23
15,38,21
15,38,22
15,38,23
15,39,19
15,39,20
15,39,21
15,39,22
15,39,23
15,40,18
15,40,19
15,40,20
15,40,21
15,40,22
15,40,23
15,40,40
15,40,41
15,41,18
15,41,19
15,41,20
15,41,21
15,41,22
15,41,23
15,41,37
15,41,38
15,41,39
15,41,40
15,41,41
15,41,42
15,41,43
15,42,18
15,42,19
15,42,20
15,42,21
15,42,22
15,42,23
15,42,24
15,42,25
15,42,30
15,42,31
15,42,32
15,42,33
15,42,34
15,42,35
15,42,36
15,42,37
15,42,38
15,42,39
15,42,40
15,42,41
15,42,42
15,42,43
15,42,44
15,43,18
15,43,19
15,43,20
15,43,21
15,43,22
15,43,23
15,43,24
15,43,25
15,43,26
15,43,27
15,43,28
15,43,29
15,43,30
15,43,31
15,43,32
15,43,33
15,43,34
15,43,35
15,43,36
15,43,37
15,43,38
15,43,39
15,43,40
15,43,41
15,43,42
15,43,43
15,43,44
15,44,18
15,44,19
15,44,20
15,44,21
15,44,22
15,44,23
15,44,24
15,44,25
15,44,26
15,44,27
15,44,28
15,44,29
15,44,30
15,44,31
15,44,32
15,44,33
15,44,34
15,44,35
15,44,36
15,44,37
15,44,38
15,44,40
15,44,41
15,45,18
15,45,19
15,45,20
15,45,21
15,45,22
15,45,23
15,45,24
15,45,25
15,45,26
15,45,27
15,45,28
15,45,29
15,45,30
15,45,31
15,45,32
15,45,33
15,45,34
15,46,20
15,46,21
15,46,22
15,46,23
15,46,24
15,46,25
15,46,26
15,46,27
15,46,28
15,46,29
15,46,30
15,46,31
15,46,32
15,47,21
15,47,22
15,47,23
15,47,24
15,47,25
15,47,26
15,47,27
15,47,28
15,47,29
15,47,30
15,48,21
15,48,22
15,48,23
15,48,24
15,48,25
15,48,26
15,48,27
15,48,28
15,48,29
15,49,22
15,49,23
15,49,24
15,49,25
15,49,26
15,49,27
15,49,28
15,50,24
15,50,25
15,50,26
15,53,26
15,54,24
15,54,25
15,54,26
15,54,27
15,54,28
15,54,31
15,54,32
15,54,33
15,54,34
15,54,35
15,55,23
15,55,24
15,55,25
15,55,26
15,55,27
15,55,28
15,55,29
15,55,30
15,55,31
15,55,32
15,55,33
15,55,34
15,55,35
15,55,36
15,56,23
15,56,24
15,56,25
15,56,26
15,56,27
15,56,28
15,56,29
15,56,30
15,56,31
15,56,32
15,56,33
15,56,34
15,56,35
15,56,36
15,57,23
15,57,24
15,57,25
15,57,26
15,57,27
15,57,28
15,57,29
15,57,30
15,57,31
15,57,32
15,57,33
15,57,34
15,58,24
15,58,25
15,58,26
15,58,27
15,58,28
15,58,29
15,58,30
15,58,31
15,58,32
15,58,33
15,58,34
15,59,25
15,59,26
15,59,27
15,59,28
15,59,29
15,59,30
15,59,31
15,59,32
15,60,28
15,60,29
15,60,30
15,60,31
16,15,14
16,16,14
16,17,14
16,22,13
16,22,44
16,23,12
16,23,13
16,23,43
16,23,44
16,24,12
16,24,42
16,24,43
16,24,44
16,25,22
16,25,40
16,25,41
16,25,42
16,25,43
16,25,44
16,25,45
16,26,21
16,26,36
16,26,37
16,26,38
16,26,39
16,26,40
16,26,41
16,26,42
16,26,43
16,26,44
16,26,45
16,27,20
16,27,35
16,27,36
16,27,37
16,27,38
16,27,39
16,27,40
16,27,41
16,27,42
16,27,46
16,28,20
16,28,35
16,28,36
16,28,37
16,28,38
16,28,39
16,28,40
16,29,20
16,29,32
16,29,35
16,29,36
16,29,37
16,29,38
16,29,39
16,30,20
16,30,35
16,30,36
16,30,37
16,31,20
16,31,22
16,31,33
16,31,35
16,32,19
16,32,20
16,32,21
16,33,19
16,33,20
16,33,21
16,34,19
16,34,20
16,35,19
16,35,20
16,35,21
16,36,18
16,36,19
16,36,20
16,36,21
16,37,18
16,37,19
16,37,20
16,37,21
16,37,22
16,37,23
16,38,17
16,38,18
16,38,19
16,38,20
16,38,21
16,38,22
16,38,23
16,39,16
16,39,17
16,39,18
16,39,19
16,39,20
16,39,21
16,39,22
16,39,23
16,40,16
16,40,17
16,40,18
16,40,19
16,40,20
16,40,21
16,40,22
16,40,38
16,40,39
16,41,17
16,41,18
16,41,19
16,41,20
16,41,21
16,41,22
16,41,33
16,41,34
16,41,35
16,41,36
16,41,37
16,41,38
16,41,39
16,41,40
16,41,41
16,41,42
16,41,43
16,42,18
16,42,19
16,42,20
16,42,21
16,42,22
16,42,24
16,42,25
16,42,30
16,42,31
16,42,32
16,42,33
16,42,34
16,42,35
16,42,36
16,42,37
16,42,38
16,42,39
16,42,40
16,42,41
16,42,42
16,42,43
16,42,44
16,43,18
16,43,19
16,43,20
16,43,21
16,43,22
16,43,23
16,43,24
16,43,25
16,43,26
16,43,27
16,43,28
16,43,29
16,43,30
16,43,31
16,43,32
16,43,33
16,43,34
16,43,35
16,43,36
16,43,37
16,43,38
16,43,39
16,43,40
16,43,41
16,44,18
16,44,19
16,44,22
16,44,23
16,44,24
16,44,25
16,44,26
16,44,27
16,44,28
16,44,29
16,44,30
16,44,31
16,44,32
16,44,33
16,44,34
16,45,18
16,45,22
16,45,23
16,45,24
16,45,25
16,45,26
16,45,27
16,45,28
16,45,29
16,45,30
16,45,31
16,45,32
16,45,33
16,46,22
16,46,23
16,46,24
16,46,25
16,46,26
16,46,27
16,46,28
16,46,29
16,46,30
16,47,22
16,47,23
16,47,24
16,47,25
16,47,26
16,47,27
16,47,28
16,47,29
16,48,22
16,48,23
16,48,24
16,48,25
16,48,26
16,48,27
16,48,28
16,48,29
16,49,22
16,49,23
16,49,24
16,49,25
16,49,26
16,49,27
16,49,28
16,50,23
16,50,24
16,50,25
16,50,26
16,50,27
16,50,28
16,51,25
16,51,26
16,51,27
16,53,25
16,53,26
16,53,27
16,53,33
16,53,34
16,53,35
16,54,24
16,54,25
16,54,26
16,54,27
16,54,28
16,54,29
16,54,30
16,54,31
16,54,32
16,54,33
16,54,34
16,54,35
16,54,36
16,55,23
16,55,24
16,55,25
16,55,26
16,55,27
16,55,28
16,55,29
16,55,30
16,55,31
16,55,32
16,55,33
16,55,34
16,55,35
16,55,36
16,55,37
16,56,23
16,56,24
16,56,25
16,56,26
16,56,27
16,56,28
16,56,29
16,56,30
16,56,31
16,56,32
16,56,33
16,56,34
16,56,35
16,56,36
16,57,23
16,57,24
16,57,25
16,57,26
16,57,27
16,57,28
16,57,29
16,57,30
16,57,31
16,57,32
16,57,33
16,57,34
16,57,35
16,58,24
16,58,25
16,58,26
16,58,27
16,58,28
16,58,29
16,58,30
16,58,31
16,58,32
16,58,33
16,58,34
16,59,25
16,59,26
16,59,27
16,59,28
16,59,29
16,59,30
16,59,31
16,59,32
16,59,33
16,60,28
16,60,29
16,60,30
16,60,31
16,60,32
16,61,30
17,14,14
17,15,14
17,18,14
17,21,44
17,22,43
17,22,44
17,23,5
17,23,42
17,23,43
17,23,44
17,23,45
17,24,5
17,24,6
17,24,22
17,24,41
17,24,42
17,24,43
17,24,44
17,24,45
17,24,46
17,25,5
17,25,21
17,25,22
17,25,39
17,25,40
17,25,41
17,25,42
17,25,43
17,25,44
17,25,45
17,25,46
17,26,21
17,26,35
17,26,36
17,26,37
17,26,38
17,26,39
17,26,40
17,26,41
17,27,21
17,27,22
17,27,35
17,27,36
17,27,37
17,27,38
17,27,39
17,27,40
17,28,21
17,28,22
17,28,35
17,28,36
17,28,37
17,28,38
17,28,39
17,29,21
17,29,22
17,29,35
17,29,36
17,29,37
17,29,38
17,30,21
